开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,上课时间,掉课率
体育部,10720371,31,二年级男生游泳,1,张绍良,20,0,0,2-3(全周),33.930338791366424
体育部,10720371,4,二年级男生游泳,1,萧龙,20,1,0,3-4(全周),12.641728059518474
体育部,10720371,5,二年级男生游泳,1,萧龙,20,0,0,5-4(全周),44.18302130108124
体育部,10720371,6,二年级男生游泳,1,马为民,20,0,0,2-1(全周),33.852314691424475
体育部,10720371,7,二年级男生游泳,1,马为民,20,0,0,2-2(全周),38.06212572920054
体育部,10720371,8,二年级男生游泳,1,马为民,20,1,0,3-1(全周),16.388935757471486
体育部,10720371,9,二年级男生游泳,1,马为民,20,0,0,3-2(全周),30.640432383279595
体育部,10720381,1,二年级男生武术,1,张继东,32,0,0,3-3(全周),47.491540300127966
体育部,10720381,2,二年级男生武术,1,冯宏鹏,32,0,0,5-2(全周),43.1597432808305
体育部,10720381,3,二年级男生武术,1,冯宏鹏,32,0,0,5-3(全周),44.917783459585685
体育部,10720411,1,二年级男生乒乓球,1,王欣,32,0,0,2-4(全周),49.569031600087094
体育部,10720411,2,二年级男生乒乓球,1,刘国正,32,0,0,1-4(全周),49.836945673453265
体育部,10720411,3,二年级男生乒乓球,1,刘国正,32,0,0,2-2(全周),38.841353311001356
体育部,10720411,4,二年级男生乒乓球,1,刘国正,32,0,0,4-2(全周),37.487440009484445
体育部,10720411,5,二年级男生乒乓球,1,刘国正,32,0,0,5-2(全周),32.643213837778305
体育部,10720411,6,二年级男生乒乓球,1,刘静民,32,0,0,3-1(全周),30.522894672891983
体育部,10720411,7,二年级男生乒乓球,1,刘静民,32,0,0,3-2(全周),31.868896385802127
体育部,10720431,1,二年级男生毽球,1,赵际青,32,7,0,2-2(全周),19.53721861779931
体育部,10720431,2,二年级男生毽球,1,赵际青,32,0,0,3-3(全周),37.02429359100707
体育部,10720431,3,二年级男生毽球,1,赵际青,32,0,0,3-4(全周),43.884246504504446
体育部,10720431,4,二年级男生毽球,1,赵际青,32,8,0,4-1(全周),10.309037057209569
体育部,10720451,0,二年级女生武术,1,王玉林,30,0,0,2-3(全周),31.649996930101366
体育部,10720461,0,二年级女生毽球,1,赵际青,30,3,0,2-1(全周),12.939084688127775
体育部,10720481,1,二年级女生健美操,1,周涛,30,1,0,1-2(全周),17.134129275034475
体育部,10720481,2,二年级女生健美操,1,周涛,30,0,0,2-2(全周),43.855517920842416
体育部,10720481,3,二年级女生健美操,1,周涛,30,7,0,5-2(全周),14.196105588371095
体育部,10720491,1,二年级女生形体,1,周小菁,30,13,0,1-4(全周),12.38074186094076
体育部,10720491,2,二年级女生形体,1,周小菁,30,14,0,3-2(全周),13.97472951206312
体育部,10720491,3,二年级女生形体,1,周小菁,30,7,0,3-3(全周),19.003407806990978
体育部,10720491,4,二年级女生形体,1,周小菁,30,15,0,5-3(全周),10.685130340998505
体育部,10720511,1,二年级女生篮球,1,李波,30,2,0,3-3(全周),18.403293073487703
体育部,10720511,2,二年级女生篮球,1,杨半伴,30,13,0,4-2(全周),17.00153909866581
体育部,10720521,0,二年级女生网球,1,王壹伦,2,0,0,2-3(全周),45.598806931656995
体育部,10720531,0,二年级女生足球,1,张冰,30,15,0,2-3(全周),11.106490302791622
体育部,10720541,1,二年级女生垒球,1,胡孝乾,30,0,0,3-4(全周),47.56197654834952
体育部,10720541,2,二年级女生垒球,1,胡孝乾,30,0,0,5-2(全周),44.50713593870594
体育部,10720551,1,二年级女生轮滑,1,李波,30,0,0,2-2(全周),37.0308516426388
体育部,10720551,2,二年级女生轮滑,1,许訸昊,30,0,0,4-2(全周),32.146571369781384
体育部,10720561,1,二年级女生游泳,1,王烨,20,0,0,1-2(全周),34.33753947434683
体育部,10720561,2,二年级女生游泳,1,王烨,20,0,0,1-3(全周),40.11733688949707
体育部,10720561,3,二年级女生游泳,1,王烨,20,0,0,2-2(全周),48.58746981733003
体育部,10720561,4,二年级女生游泳,1,王烨,20,0,0,3-2(全周),45.655323889135715
体育部,10720561,5,二年级女生游泳,1,王烨,20,0,0,5-2(全周),35.91356024944248
体育部,10720561,6,二年级女生游泳,1,张文清,20,0,0,1-4(全周),48.38464082633306
体育部,10720561,7,二年级女生游泳,1,张文清,21,0,0,2-4(全周),48.20913974085928
体育部,10720561,8,二年级女生游泳,1,张文清,20,0,0,3-3(全周),41.99175259993938
体育部,10720561,9,二年级女生游泳,1,张文清,20,0,0,3-4(全周),36.152047680909135
体育部,10720571,1,二年级女生乒乓球,1,王海燕,32,0,0,1-3(全周),33.49710400030448
体育部,10720571,2,二年级女生乒乓球,1,王海燕,32,1,0,5-3(全周),16.4260721532016
体育部,10720581,0,二年级女生羽毛球,1,高全,32,0,0,1-2(全周),46.47764663294731
体育部,10720591,0,二年级女生自卫防身,1,王玉林,30,1,0,2-2(全周),11.759403032106807
体育部,10720611,1,体疗（4）,1,曹春梅,6,0,0,1-3(全周),42.62582292768184
体育部,10720611,2,体疗（4）,1,曹春梅,6,0,0,1-4(全周),34.069367498239544
体育部,10720611,3,体疗（4）,1,曹春梅,6,0,0,2-3(全周),37.40609555316484
体育部,10720611,4,体疗（4）,1,曹春梅,6,2,0,2-4(全周),17.30923709316218
体育部,10720611,5,体疗（4）,1,曹春梅,6,0,0,3-4(全周),33.558518221026276
体育部,10720611,6,体疗（4）,1,马勇志,6,3,0,4-2(全周),11.558089649265357
体育部,10720641,0,二年级女生板球,1,刘静民,12,0,0,1-3(全周),31.84942135362037
体育部,10720741,0,二年级女生空手道,1,冯宏鹏,30,0,0,4-1(全周),41.43316790945586
体育部,10720761,1,二年级女生跆拳道,1,张会景,30,0,0,1-3(全周),37.9438124412177
体育部,10720761,2,二年级女生跆拳道,1,张会景,30,0,0,2-3(全周),48.24534135165139
体育部,10720771,0,二年级女生滑冰,1,韩聪,30,0,0,3-2(全周),38.46281462962939
体育部,10720781,1,二年级女生气排球,1,赵青,30,0,0,3-2(全周),33.481105470816274
体育部,10720781,2,二年级女生气排球,1,赵青,30,0,0,5-3(全周),32.104704766833486
体育部,10720791,1,二年级女生游泳提高班,1,杨听宇,5,0,0,3-3(全周),45.41589528578051
体育部,10720791,2,二年级女生游泳提高班,1,杨听宇,5,0,0,5-4(全周),37.40534896196639
体育部,10720791,3,二年级女生游泳提高班,1,陈祚,5,0,0,2-1(全周),41.87218877873362
体育部,10720791,4,二年级女生游泳提高班,1,陈祚,5,0,0,2-2(全周),39.29103596433188
体育部,10720791,5,二年级女生游泳提高班,1,张威,5,0,0,1-2(全周),48.4757346471369
体育部,10720791,6,二年级女生游泳提高班,1,张威,5,0,0,1-3(全周),42.07356894951374
体育部,10720791,7,二年级女生游泳提高班,1,杨听宇,2,1,0,2-3(全周),19.928699263536508
体育部,10720841,1,二年级男生五人制足球,1,何奇泽,28,0,0,2-3(全周),40.58481458592203
体育部,10720841,2,二年级男生五人制足球,1,何奇泽,28,1,0,2-4(全周),19.441416633573837
体育部,10720841,3,二年级男生五人制足球,1,何奇泽,28,0,0,3-3(全周),45.69377133869076
体育部,10720841,4,二年级男生五人制足球,1,何奇泽,28,0,0,3-4(全周),32.08362605218611
体育部,10720851,1,二年级男生击剑基础,1,刘爽,28,0,0,2-2(全周),41.250450566140195
体育部,10720851,2,二年级男生击剑基础,1,刘爽,28,0,0,2-3(全周),35.61144710940798
体育部,10720871,1,二年级男生游泳提高班,1,杨听宇,20,0,0,3-3(全周),39.9241831760037
体育部,10720871,2,二年级男生游泳提高班,1,杨听宇,20,0,0,5-4(全周),34.844554273480504
体育部,10720871,3,二年级男生游泳提高班,1,陈祚,20,0,0,2-1(全周),42.0808001261377
体育部,10720871,4,二年级男生游泳提高班,1,陈祚,21,0,0,2-2(全周),38.43369790912199
体育部,10720871,5,二年级男生游泳提高班,1,张威,20,0,0,1-2(全周),31.86080656006589
体育部,10720871,6,二年级男生游泳提高班,1,张威,20,0,0,1-3(全周),38.586840729926664
体育部,10720871,7,二年级男生游泳提高班,1,杨听宇,20,6,0,2-3(全周),10.39808632048225
体育部,10720891,1,二年级男生滑冰,1,李波,30,0,0,1-3(全周),31.917192109548058
体育部,10720891,2,二年级男生滑冰,1,李波,30,0,0,2-3(全周),42.37926944523388
体育部,10720891,3,二年级男生滑冰,1,李波,30,0,0,3-2(全周),39.231163505268505
体育部,10720891,4,二年级男生滑冰,1,李波,30,0,0,5-2(全周),30.262199851562674
体育部,10720891,5,二年级男生滑冰,1,许訸昊,30,0,0,4-1(全周),41.7893209464449
体育部,10720891,6,二年级男生滑冰,1,韩聪,30,0,0,1-2(全周),36.86175056149199
体育部,10720911,0,二年级男生羽毛球,1,高全,32,0,0,3-2(全周),33.03468734277632
体育部,10720921,1,二年级男生空手道,1,冯宏鹏,32,0,0,3-3(全周),49.18655877152669
体育部,10720921,2,二年级男生空手道,1,冯宏鹏,32,0,0,3-4(全周),41.28142065807018
体育部,10720931,0,二年级男生定向运动,1,田奇乐,30,0,0,2-4(全周),36.72900251813529
体育部,10720961,1,二年级男生轮滑,1,李波,32,0,0,1-2(全周),40.84416266671706
体育部,10720961,2,二年级男生轮滑,1,许訸昊,32,0,0,2-3(全周),30.093729503766028
体育部,10720961,3,二年级男生轮滑,1,许訸昊,32,1,0,3-2(全周),15.212727948853857
体育部,10720980,1,三年级男生游泳提高班,0,张威,20,0,0,3-1(全周),40.34106211536708
体育部,10720980,10,三年级男生游泳提高班,0,杨听宇,20,7,0,5-3(全周),12.962766967672334
体育部,10720980,2,三年级男生游泳提高班,0,张威,20,0,0,3-2(全周),30.530944706607098
体育部,10720980,3,三年级男生游泳提高班,0,张威,20,0,0,4-1(全周),42.47785316427462
体育部,10720980,4,三年级男生游泳提高班,0,张威,20,2,0,4-2(全周),15.146616330741125
体育部,10720980,5,三年级男生游泳提高班,0,杨听宇,20,0,0,1-4(全周),42.43946305255597
体育部,10720980,6,三年级男生游泳提高班,0,杨听宇,20,0,0,2-4(全周),36.35001060950683
体育部,10720980,7,三年级男生游泳提高班,0,陈祚,15,0,0,1-2(全周),36.112807364970976
体育部,10720980,8,三年级男生游泳提高班,0,张文清,15,0,0,1-3(全周),40.74590302713989
体育部,10720980,9,三年级男生游泳提高班,0,张文清,15,1,0,5-3(全周),14.027268871506445
体育部,10721011,1,三年级男生篮球提高课,0,许林亚,30,6,0,1-2(全周),11.74598439267393
体育部,10721011,2,三年级男生篮球提高课,0,许林亚,30,15,0,3-2(全周),16.06620127495322
体育部,10721011,3,三年级男生篮球提高课,0,许林亚,30,14,0,5-2(全周),12.912495890249625
体育部,10721011,4,三年级男生篮球提高课,0,许林亚,30,14,0,5-3(全周),11.424716444753898
体育部,10721011,5,三年级男生篮球提高课,0,田奇乐,30,16,0,5-3(全周),14.54883547720045
体育部,10721021,1,三年级男生排球提高课,0,周放,30,3,0,2-3(全周),17.824992755262326
体育部,10721021,2,三年级男生排球提高课,0,张晨,30,12,0,3-2(全周),17.61141395462662
体育部,10721031,1,三年级男生足球提高课,0,孙葆洁,30,9,0,3-2(全周),14.399780857035134
体育部,10721031,2,三年级男生足球提高课,0,孙葆洁,30,4,0,3-3(全周),11.070074922148507
体育部,10721031,3,三年级男生足球提高课,0,孙葆洁,30,14,0,4-2(全周),16.319092304922357
体育部,10721031,4,三年级男生足球提高课,0,孙葆洁,30,5,0,5-2(全周),12.120901169307974
体育部,10721031,5,三年级男生足球提高课,0,孙葆洁,30,4,0,5-3(全周),19.80134497727265
体育部,10721031,6,三年级男生足球提高课,0,何奇泽,30,7,0,1-3(全周),19.954787203397782
体育部,10721041,1,三年级男生网球,0,王壹伦,28,1,0,1-3(全周),10.82247157852293
体育部,10721041,10,三年级男生网球,0,蒋婷,28,0,0,2-2(全周),36.04015464995068
体育部,10721041,11,三年级男生网球,0,蒋婷,28,0,0,5-2(全周),45.88989835383457
体育部,10721041,2,三年级男生网球,0,王壹伦,28,0,0,2-4(全周),36.25827267623504
体育部,10721041,3,三年级男生网球,0,王壹伦,28,0,0,3-3(全周),48.16081542690122
体育部,10721041,4,三年级男生网球,0,王壹伦,28,0,0,3-4(全周),32.93712190366065
体育部,10721041,5,三年级男生网球,0,王壹伦,28,0,0,5-2(全周),39.16504766866855
体育部,10721041,6,三年级男生网球,0,王壹伦,20,5,0,5-3(全周),15.204101142010362
体育部,10721041,7,三年级男生网球,0,邢钰,28,0,0,1-2(全周),44.92678614833029
体育部,10721041,8,三年级男生网球,0,邢钰,28,0,0,1-3(全周),38.4967210395006
体育部,10721041,9,三年级男生网球,0,邢钰,28,1,0,3-2(全周),17.62305138325288
体育部,10721051,1,三年级男生棒球,0,贾昱冰,30,0,0,2-2(全周),49.71440777580628
体育部,10721051,2,三年级男生棒球,0,贾昱冰,30,0,0,3-2(全周),45.11923706737432
体育部,10721071,1,三年级男生乒乓球,0,王欣,32,0,0,3-3(全周),48.59681638727368
体育部,10721071,2,三年级男生乒乓球,0,刘国正,32,0,0,1-2(全周),48.033882662711704
体育部,10721071,3,三年级男生乒乓球,0,刘国正,32,0,0,2-3(全周),34.8998961846718
体育部,10721071,4,三年级男生乒乓球,0,刘国正,32,0,0,4-1(全周),32.72717688198229
体育部,10721071,5,三年级男生乒乓球,0,刘国正,32,0,0,5-4(全周),30.578245232268422
体育部,10721081,1,三年级男生羽毛球,0,陆淳,32,0,0,1-2(全周),49.55310692296378
体育部,10721081,2,三年级男生羽毛球,0,陆淳,32,0,0,1-4(全周),48.36801460020547
体育部,10721081,3,三年级男生羽毛球,0,陆淳,32,1,0,2-2(全周),11.601080750514038
体育部,10721081,4,三年级男生羽毛球,0,陆淳,32,0,0,2-4(全周),33.08347651907756
体育部,10721081,5,三年级男生羽毛球,0,陆淳,32,0,0,5-2(全周),31.237613736914135
体育部,10721081,6,三年级男生羽毛球,0,陆淳,32,0,0,5-4(全周),40.89940811343302
体育部,10721081,7,三年级男生羽毛球,0,姜来,32,0,0,1-3(全周),40.72024796974378
体育部,10721081,8,三年级男生羽毛球,0,姜来,32,0,0,2-3(全周),47.387494584555625
体育部,10721081,9,三年级男生羽毛球,0,姜来,32,0,0,4-2(全周),35.000254287738564
体育部,10721091,0,三年级男生沙滩排球,0,赵青,30,20,0,5-2(全周),13.217446290797362
体育部,10721101,0,三年级男生轮滑,0,许訸昊,30,2,0,1-3(全周),11.210039247242117
体育部,10721111,1,三年级男生健美,0,张新贵,26,0,0,2-2(全周),47.15136574880645
体育部,10721111,2,三年级男生健美,0,张新贵,26,0,0,2-3(全周),38.00187613330962
体育部,10721111,3,三年级男生健美,0,张新贵,26,0,0,3-3(全周),43.25908692098202
体育部,10721121,1,三年级男生游泳,0,张绍良,20,0,0,1-4(全周),47.69171125873269
体育部,10721121,2,三年级男生游泳,0,张绍良,21,0,0,2-4(全周),38.84010347477587
体育部,10721131,1,三年级男生跳水,0,于芬,10,1,0,2-3(全周),19.906053491462043
体育部,10721131,2,三年级男生跳水,0,于芬,10,0,0,3-3(全周),37.71076778861964
体育部,10721131,3,三年级男生跳水,0,李成伟,10,0,0,3-1(全周),47.5470993608035
体育部,10721131,4,三年级男生跳水,0,李成伟,10,0,0,3-4(全周),46.75139000778529
体育部,10721131,5,三年级男生跳水,0,李成伟,10,0,0,5-2(全周),37.30031225674379
体育部,10721151,1,三年级男生武术,0,王玉林,30,1,0,1-3(全周),15.133705099119041
体育部,10721151,2,三年级男生武术,0,王玉林,30,1,0,5-2(全周),14.87736109414437
体育部,10721151,3,三年级男生武术,0,冯宏鹏,30,1,0,3-2(全周),12.885722720520228
体育部,10721151,4,三年级男生武术,0,冯宏鹏,30,0,0,5-4(全周),31.20444975793601
体育部,10721161,1,三年级男生散手,0,乔凤杰,30,0,0,2-2(全周),43.8310110475488
体育部,10721161,2,三年级男生散手,0,乔凤杰,30,0,0,2-3(全周),32.67490539105392
体育部,10721161,3,三年级男生散手,0,乔凤杰,30,0,0,3-3(全周),34.72212820266612
体育部,10721161,4,三年级男生散手,0,马勇志,30,2,0,1-2(全周),11.05243746294995
体育部,10721181,1,三年级男生击剑,0,刘爽,28,0,0,1-2(全周),35.25535685023984
体育部,10721181,2,三年级男生击剑,0,刘爽,28,0,0,1-3(全周),35.85344746270349
体育部,10721181,3,三年级男生击剑,0,刘爽,28,3,0,3-2(全周),19.132081807049993
体育部,10721181,4,三年级男生击剑,0,刘爽,28,0,0,3-3(全周),44.386297801120094
体育部,10721181,5,三年级男生击剑,0,刘爽,28,9,0,4-2(全周),14.627214089707948
体育部,10721211,1,三年级男生跆拳道,0,张会景,30,0,0,2-2(全周),38.83694085856146
体育部,10721211,2,三年级男生跆拳道,0,张会景,30,0,0,3-2(全周),31.72645146112599
体育部,10721341,0,三年级男生功夫扇,0,郭惠珍,30,9,0,5-2(全周),12.035825509505958
体育部,10721351,1,三年级男生街舞,0,彭建敏,30,0,0,1-3(全周),34.395429979314244
体育部,10721351,2,三年级男生街舞,0,彭建敏,10,2,0,5-3(全周),12.488676320335077
体育部,10721361,1,三年级男生台球,0,张继东,32,0,0,2-3(全周),31.916563095551062
体育部,10721361,2,三年级男生台球,0,张继东,32,0,0,2-4(全周),31.160918389322244
体育部,10721361,3,三年级男生台球,0,张继东,32,0,0,4-1(全周),48.61827207993586
体育部,10721361,4,三年级男生台球,0,张继东,32,0,0,4-2(全周),46.172447272563204
体育部,10721361,5,三年级男生台球,0,张继东,32,0,0,5-2(全周),35.18261191232911
体育部,10721361,6,三年级男生台球,0,吴小五,32,0,0,1-2(全周),41.66950372943985
体育部,10721361,7,三年级男生台球,0,吴小五,32,0,0,1-3(全周),47.5613841342484
体育部,10721361,8,三年级男生台球,0,吴小五,32,0,0,2-1(全周),45.91723566877803
体育部,10721361,9,三年级男生台球,0,吴小五,32,0,0,2-2(全周),36.4330920741794
体育部,10721381,0,三年级男生气排球,0,张晨,30,1,0,4-1(全周),19.06239735083284
体育部,10721431,0,三年级女生台球,0,张继东,32,0,0,3-4(全周),33.23749096508705
体育部,10721441,1,三年级女生街舞,0,彭建敏,30,0,0,3-2(全周),32.54226765706472
体育部,10721441,2,三年级女生街舞,0,彭建敏,10,2,0,5-3(全周),15.433917735889544
体育部,10721501,0,三年级女生艺术体操,0,周小菁,28,10,0,1-3(全周),11.354956398590227
体育部,10721511,1,三年级女生网球,0,邢钰,28,0,0,2-2(全周),46.936252946615355
体育部,10721511,2,三年级女生网球,0,邢钰,28,3,0,3-3(全周),13.817173298584859
体育部,10721511,3,三年级女生网球,0,蒋婷,28,0,0,1-2(全周),31.097041858007348
体育部,10721511,4,三年级女生网球,0,蒋婷,28,0,0,1-3(全周),31.507511658256615
体育部,10721511,5,三年级女生网球,0,蒋婷,28,0,0,2-3(全周),30.862031916308943
体育部,10721511,6,三年级女生网球,0,蒋婷,28,0,0,3-2(全周),36.397361663835284
体育部,10721511,7,三年级女生网球,0,蒋婷,28,0,0,5-3(全周),41.57025405466486
体育部,10721521,0,三年级女生篮球,0,杨半伴,30,1,0,4-1(全周),17.09362446373115
体育部,10721561,0,三年级女生形体,0,周小菁,28,18,0,2-2(全周),13.504356686126076
体育部,10721571,1,三年级女生游泳,0,王烨,20,0,0,2-1(全周),41.52043523193147
体育部,10721571,2,三年级女生游泳,0,王烨,20,0,0,3-1(全周),47.10928908356202
体育部,10721571,3,三年级女生游泳,0,张文清,20,0,0,5-4(全周),30.77255389954309
体育部,10721591,0,三年级女生乒乓球,0,王海燕,32,0,0,3-4(全周),43.84417713207887
体育部,10721601,0,三年级女生健美操,0,周涛,30,3,0,2-4(全周),12.933264704160225
体育部,10721631,1,三年级女生羽毛球,0,姜来,32,0,0,2-2(全周),30.73665918089437
体育部,10721631,2,三年级女生羽毛球,0,姜来,32,1,0,3-4(全周),18.75847073595956
体育部,10721631,3,三年级女生羽毛球,0,姜来,32,13,0,5-2(全周),16.974424876849618
体育部,10721651,1,体疗（6）,0,曹春梅,10,1,0,1-3(全周),18.96756645579363
体育部,10721651,2,体疗（6）,0,曹春梅,10,0,0,1-4(全周),46.43380925708304
体育部,10721651,3,体疗（6）,0,曹春梅,10,2,0,2-3(全周),10.964626847588562
体育部,10721651,4,体疗（6）,0,曹春梅,10,5,0,2-4(全周),18.69256695844215
体育部,10721651,5,体疗（6）,0,曹春梅,10,1,0,3-4(全周),12.593728390298251
体育部,10721651,6,体疗（6）,0,马勇志,10,6,0,4-2(全周),13.389950676704784
体育部,10721731,1,三年级女生武术,0,王玉林,30,10,0,1-2(全周),14.407184010185421
体育部,10721731,2,三年级女生武术,0,王玉林,30,2,0,3-2(全周),10.804197387366127
体育部,10721741,1,三年级女生跳水,0,于芬,10,0,0,2-3(全周),41.560020984945545
体育部,10721741,2,三年级女生跳水,0,于芬,10,2,0,3-3(全周),14.805502059707374
体育部,10721741,3,三年级女生跳水,0,李成伟,10,2,0,3-1(全周),11.815866484508776
体育部,10721741,4,三年级女生跳水,0,李成伟,10,3,0,3-4(全周),15.423149193919077
体育部,10721741,5,三年级女生跳水,0,李成伟,10,4,0,5-2(全周),15.308917726952735
体育部,10721751,1,三年级女生跆拳道,0,张会景,28,8,0,1-2(全周),14.70818970815736
体育部,10721751,2,三年级女生跆拳道,0,张会景,28,2,0,3-3(全周),19.079353678754345
体育部,10721751,3,三年级女生跆拳道,0,张会景,28,8,0,5-2(全周),17.44960220516048
体育部,10721751,4,三年级女生跆拳道,0,张会景,28,0,0,5-3(全周),35.207169025394016
体育部,10721771,0,三年级女生空手道,0,冯宏鹏,28,1,0,4-2(全周),14.415051596255122
体育部,10721781,1,三年级女生气排球,0,陈伟强,30,5,0,3-3(全周),19.24621329111551
体育部,10721781,2,三年级女生气排球,0,陈伟强,30,1,0,4-2(全周),19.98117758161945
体育部,10721810,1,三年级女生游泳提高班,0,张威,5,1,0,3-1(全周),14.569632015392193
体育部,10721810,2,三年级女生游泳提高班,0,张威,5,0,0,3-2(全周),31.127550838967363
体育部,10721810,3,三年级女生游泳提高班,0,张威,5,0,0,4-1(全周),47.65047157754632
体育部,10721810,4,三年级女生游泳提高班,0,张威,5,2,0,4-2(全周),11.342836580816781
体育部,10721810,5,三年级女生游泳提高班,0,杨听宇,5,0,0,1-4(全周),38.16517539936864
体育部,10721810,6,三年级女生游泳提高班,0,杨听宇,5,1,0,2-4(全周),17.73773375551839
体育部,10721810,7,三年级女生游泳提高班,0,陈祚,10,2,0,1-2(全周),18.022919924087873
体育部,10721810,8,三年级女生游泳提高班,0,张文清,10,0,0,1-3(全周),47.300666500936686
体育部,10721810,9,三年级女生游泳提高班,0,张文清,10,0,0,5-3(全周),32.66859498023223
体育部,10721831,0,三年级女生极限飞盘,0,郭振,14,0,0,3-2(全周),30.66737185916103
体育部,10721851,0,三年级女生冰球,0,许訸昊,26,0,0,2-1(全周),42.99827885955753
体育部,10721871,0,三年级女生花样滑冰,0,韩聪,28,0,0,1-3(全周),48.013251557382475
体育部,10721891,1,三年级女生壁球,0,邢钰,24,2,0,5-2(全周),17.384661239207464
体育部,10721891,2,三年级女生壁球,0,邢钰,24,0,0,5-3(全周),30.77227103251584
体育部,10721901,0,三年级女生冰壶基础课,0,姜馨迪,28,0,0,2-3(全周),47.14055065349079
体育部,10721951,0,三年级男生极限飞盘,0,郭振,14,0,0,3-2(全周),33.14298679091277
体育部,10722261,0,四年级男生射箭,0,郭振,30,0,0,1-3(全周),44.8767270376683
体育部,10722291,1,四年级男生跳水,0,于芬,10,0,0,2-2(全周),37.59511491748486
体育部,10722291,2,四年级男生跳水,0,于芬,10,0,0,3-2(全周),39.64267355039118
体育部,10722311,1,四年级男生瑜珈,0,周小菁,16,4,0,2-3(全周),16.58290871905465
体育部,10722311,2,四年级男生瑜珈,0,周小菁,16,3,0,5-2(全周),14.201212921519275
体育部,10722391,0,四年级男生桥牌,0,萧龙,32,8,0,"4-2(单周),4-1(单周)",14.997196497098987
体育部,10722411,0,四年级女生桥牌,0,萧龙,8,2,0,"4-2(单周),4-1(单周)",17.558285478357085
体育部,10722471,1,四年级女生瑜珈,0,周小菁,16,3,0,2-3(全周),15.893227658773649
体育部,10722471,2,四年级女生瑜珈,0,周小菁,16,4,0,5-2(全周),15.530142185664245
体育部,10722651,0,四年级女生射箭,0,郭振,30,1,0,1-4(全周),14.79170280656822
体育部,10722681,1,四年级女生跳水,0,于芬,10,0,0,2-2(全周),35.593938850350014
体育部,10722681,2,四年级女生跳水,0,于芬,10,0,0,3-2(全周),46.04013988332528
体育部,10722902,0,体育（预科）,2,张文清,105,4,0,4-3(全周),19.770298180972652
体育部,10723011,1,一年级国防生体育（男）,1,萧龙,25,0,0,5-2(全周),34.156327776281216
体育部,10723011,2,一年级国防生体育（男）,1,陈祚,25,1,0,5-2(全周),14.271056211825329
体育部,10724001,0,二年级男生极限飞盘,1,郭振,30,0,0,2-3(全周),49.7865035485923
体育部,10724011,0,二年级男生棒球提高班,1,贾昱冰,30,13,0,1-3(全周),15.391513957744195
体育部,10724061,0,二年级男生网球,1,王壹伦,24,12,0,2-3(全周),12.297370435519273
体育部,10724081,0,二年级男生冰壶基础课,1,姜馨迪,28,0,0,5-3(全周),43.36334660930102
体育部,10725001,0,二年级女生极限飞盘,1,郭振,30,0,0,2-4(全周),42.4735597401975
体育部,10725011,0,二年级女生散手,1,马勇志,30,0,0,1-3(全周),44.770028206026495
体育部,10725041,0,二年级女生冰壶基础课,1,姜馨迪,28,0,0,5-2(全周),47.52976446515474
体育部,10726020,0,三年级男生棒球提高班,0,贾昱冰,30,12,0,3-3(全周),19.172351016682583
体育部,10726031,1,三年级男生冰球,0,许訸昊,26,1,0,1-2(全周),13.08326467370238
体育部,10726031,2,三年级男生冰球,0,许訸昊,26,1,0,3-3(全周),19.50898217835652
体育部,10726031,3,三年级男生冰球,0,李波,26,3,0,5-3(全周),11.016413056481792
体育部,10726041,0,三年级男生花样滑冰,0,韩聪,28,0,0,3-3(全周),33.27995306140156
体育部,10726051,0,三年级男生壁球,0,邢钰,24,0,0,2-3(全周),33.236767248268166
体育部,10726061,0,三年级男生冰壶基础课,0,姜馨迪,28,1,0,2-2(全周),10.481697392972025
体育部,10726071,0,三年级男生篮球提高与裁判实践,0,田奇乐,30,7,0,1-3(全周),18.99720649648397
体育部,10726081,1,三年级男生匹克球,0,刘波,32,0,0,2-2(全周),49.07918519844168
体育部,10726081,2,三年级男生匹克球,0,刘波,32,0,0,4-2(全周),48.75111363019852
体育部,10727041,0,四年级男生棒球提高班,0,贾昱冰,28,12,0,2-3(全周),18.5538608376699
体育部,10727081,1,四年级男生高尔夫,0,周涛,10,0,0,1-3(全周),42.74320483502846
体育部,10727081,2,四年级男生高尔夫,0,周涛,10,0,0,5-3(全周),49.81878976809146
体育部,10728011,0,四年级女生网球提高班,0,蒋婷,20,0,0,3-3(全周),44.42527476870522
体育部,10728051,1,四年级女生高尔夫,0,周涛,10,0,0,1-3(全周),48.7675758920267
体育部,10728051,2,四年级女生高尔夫,0,周涛,10,0,0,5-3(全周),47.10795969526271
图书馆,10750011,90,信息素养——学术研究的必备能力,1,韩丽风,57,0,0,5-4(前八周),44.77194062194654
艺教中心,10780012,90,西方音乐剧史,2,罗薇,80,0,20,1-4(全周),44.16858813729632
艺教中心,10780022,90,音乐剧表演体验,2,罗薇,20,0,0,"2-5(全周),2-4(全周)",33.09920037141528
艺教中心,10780032,90,舞蹈审美与创作实践,2,张伟,25,1,5,"1-5(全周),1-4(全周)",13.256211890018532
艺教中心,10780043,90,西方文化中的古典音乐,3,刘欣欣,80,16,0,5-6(全周),14.091850094698831
艺教中心,10780053,90,中外戏剧史,3,付桂生,40,0,0,3-6(全周),40.5043586475456
艺教中心,10780112,90,京剧与中国传统文化,2,付桂生,30,0,0,2-6(全周),39.64134254964793
艺教中心,10780142,90,自我启示剧场,2,肖薇,20,0,0,2-4(全周),43.21991010785437
