开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
电机系,220122,0,虚拟仪器基础,2,郝丽,17,2,0,0,2-6(全周),,2022,
电机系,220132,0,可编程控制器及变频器系统,2,于庆广,32,14,0,0,2-4(全周),,2022,
电机系,220152,90,当代自然科学与哲学的对话,2,罗海云,20,2,0,0,1-6(全周),文化素质课; 通识选修课;,,科学课组
电子系,230202,90,光的技术：提升人类生活,2,张巍,30,2,0,0,4-6(全周),新生研讨课; 通识选修课;,,科学课组
计算机系,240013,90,计算机辅助设计技术基础,3,孙延奎,40,18,0,0,4-6(全周),,,
计算机系,240042,90,人工智能导论,2,李建民,60,0,0,0,3-6(全周),,2021,
计算机系,240094,90,计算机组成与系统结构,4,陆游游,50,34,0,0,2-6(全周),,,
计算机系,240193,90,程序设计艺术和实践,3,邬晓钧,30,30,0,0,(全周),实践课,,
计算机系,240311,90,计算机系统研讨,1,陈文光,30,4,0,0,1-6(前八周),外文教材，中文为主进行授课(双语课); 新生研讨课; 文化素质课; 通识选修课;,2024,科学课组
计算机系,240362,91,计算思维,2,韩文弢,30,0,0,0,2-6(全周),文化素质课; 通识选修课;,,科学课组
计算机系,240362,92,计算思维,2,马昱春,30,0,0,0,3-3(全周),文化素质课; 通识选修课;,2024,科学课组
计算机系,240401,90,迈向通用的人工智能,1,刘知远,800,612,0,0,(全周),,,
自动化系,250082,90,漫话滤波,2,周彤,16,0,0,0,3-6(全周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
自动化系,250131,90,企业信息化概论,1,范玉顺,16,2,0,0,1-3(前八周),新生研讨课; 文化素质课; 通识选修课;,2024,科学课组
自动化系,250141,90,视觉信息获取与显示,1,戴琼海,16,0,0,0,1-1(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
自动化系,250181,90,智能机器人初探,1,陈章,16,0,0,0,1-3(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
自动化系,250212,90,走近人工智能,2,张长水,35,0,0,0,3-6(全周),通识选修课,,科学课组
集成电路学院,260061,90,量子信息处理的超导实现,1,陈炜,15,8,0,0,3-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
航院,310011,90,航天中的奇思妙想,1,李俊峰,20,7,0,0,2-6(前八周),新生研讨课; 文化素质核心课; 文化素质课; 通识选修课;,,科学课组
航院,310212,0,航天概论,2,王兆魁,50,29,0,0,1-6(全周),,2023,
航院,310271,0,Matlab与科学计算,1,王沫然,35,0,0,0,3-1(前八周),,2021,
航院,310332,90,力学中的创意设计,2,高云峰,80,6,0,0,2-6(全周),文化素质课; 实践课; 通识选修课;,,科学课组
航院,310372,90,科学的运动——从肌肉组织到细胞的力学,2,杨春,20,1,0,0,2-6(全周),文化素质课; 实践课; 通识选修课;,,科学课组
航院,310382,90,飞行基础理论与实践,2,张超,20,0,0,0,2-6(全周),通识选修课,,科学课组
工物系,320052,90,三维可视化技术基础及应用,2,肖永顺,28,10,0,0,2-6(全周),实验课,,
工物系,320072,0,高能物理导论,2,王喆,30,4,0,0,1-4(全周),外文教材，中文为主进行授课(双语课),2022,
工物系,320102,90,核心理学,2,俞冀阳,32,0,0,0,2-6(全周),文化素质课; 通识选修课;,,科学课组
工物系,320211,90,核能物理与超算,1,王侃,20,12,0,0,2-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
工物系,320254,1,核仪器原理,4,李亮,80,0,0,0,"3-3(全周),1-2(全周)",外文教材，中文为主进行授课(双语课),2022,
工物系,320254,2,核仪器原理,4,邓智,80,20,0,0,"3-3(全周),1-2(全周)",外文教材，中文为主进行授课(双语课),2022,
工物系,320262,1,射线源导论,2,颜立新,40,1,0,0,2-4(全周),,2022,
工物系,320262,2,射线源导论,2,李任恺,32,13,0,0,2-4(全周),,2022,
化工系,340051,90,分子设计与化学工程,1,刘铮,15,2,0,0,1-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
化工系,340153,90,纳米能源,3,张强,15,9,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,科学课组
化工系,340163,90,能源材料,3,张强,15,6,0,0,3-6(全周),,,科学课组
化工系,340282,0,人工智能与流程工业导论,2,王笑楠,50,0,0,0,4-6(全周),通识选修课,,科学课组
材料学院,350121,90,在实验中认识材料,1,赵玉珍,20,17,0,0,(前八周),实验课,,
材料学院,350151,90,增材制造-3D打印技术原理与实践,1,刘蓉翾,20,1,0,0,(后八周),实验课,,
材料学院,350181,90,神奇的氧化物,1,沈洋,80,0,0,0,1-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
数学教学中心,420033,90,数学模型,3,谢金星,100,92,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,科学课组
数学教学中心,420204,0,科学与工程计算基础,4,黄忠亿,35,4,0,0,"3-1(全周),1-3(全周)",,2023,
数学系,420222,90,现代数学前沿概览,2,周坚,30,19,0,0,1-1(全周),,,
物理系,430093,90,天文学导论,3,张有宏,180,94,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,科学课组
化学系,440012,90,化学与社会,2,李景虹,140,123,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,科学课组
化学系,440051,90,磷与生命化学,1,李艳梅,18,3,0,0,1-1(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
化学系,440112,90,现代红外光谱学,2,周群,22,18,0,0,2-6(全周),,,
生命学院,450012,0,生态学,2,陈功,50,0,0,0,2-1(全周),文化素质核心课; 文化素质课; 通识选修课;,,科学课组
生命学院,450182,90,生命科学简史,2,杨扬,50,0,0,0,3-1(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,科学课组
生命学院,450192,91,花卉鉴赏,2,王菁兰,60,0,0,0,1-1(全周),文化素质核心课; 文化素质课; 通识选修课;,,艺术课组
生命学院,450192,92,花卉鉴赏,2,王菁兰,60,0,0,0,2-1(全周),文化素质核心课; 文化素质课; 通识选修课;,,艺术课组
生命学院,450271,90,大学生物学实验,1,王洪钟,90,56,0,0,(3-13周),实验课,,
生命学院,450321,91,趣味微生物学实验,1,麻彩萍,20,0,0,0,"5-3(2-6周),5-4(2-6周)",实验课,,
生命学院,450321,92,趣味微生物学实验,1,麻彩萍,20,12,0,0,"5-4(8-10,12-13周),5-3(…",实验课,,
生命学院,450321,93,趣味微生物学实验,1,麻彩萍,20,0,0,0,"6-4(8-9,12-14周),6-3(8…",实验课,,
生命学院,450331,90,演化-生命的源流,1,单晓昳,60,0,0,0,3-6(前八周),文化素质课; 通识选修课;,,科学课组
生命学院,450342,90,动物行为学,2,张伟,80,0,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 实验课; 实践课; 通识选修课;,,科学课组
生命学院,450352,90,植物的智慧,2,王菁兰,20,0,0,0,2-4(全周),实验课; 实践课; 通识选修课;,,科学课组
生命学院,450372,90,鸟类学导论,2,陈功,50,0,0,0,4-1(全周),通识选修课,,
生命学院,450381,90,超级电子显微术与其展现的生命世界,1,李赛,24,0,0,0,2-6(前八周),实验课; 通识选修课;,,科学课组
地学系,460133,90,海洋学概论,3,徐芳华,40,5,10,8,1-6(全周),外文授课比例≥50%(双语课); 文化素质课; 通识选修课;,,科学课组
地学系,460182,90,全球生物多样性保护,2,杨军,25,19,10,9,"1-4(1-11周),1-3(1-11周)",全外文授课; 认证外文课;,,
经管学院,510133,90,会计学原理,3,许达,60,7,0,0,3-6(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,,社科课组
经管学院,510163,90,保险学原理,3,王珺,20,11,0,0,1-6(全周),,,
经管学院,510232,91,技术创新管理,2,李习保,47,28,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
经管学院,510232,92,技术创新管理,2,李习保,25,5,0,0,3-6(全周),全外文授课; 文化素质核心课; 文化素质课; 通识选修课;,,社科课组
经管学院,510311,90,牛鞭效应－供应链管理入门,1,陈剑,15,6,0,0,1-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
经管学院,510353,90,经济博弈论,3,钟笑寒,57,0,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 文化素质核心课; 文化素质课; 通识选修课;,,社科课组
经管学院,510392,90,创业管理,2,杨德林,30,17,0,0,"2-6(前八周),4-6(前八周)",文化素质课,,
经管学院,510433,90,对策、决策与排队论,3,杨柳,45,3,0,0,4-6(全周),文化素质课; 通识选修课;,,社科课组
