开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
数学教学中心,10421382,2,高等线性代数选讲,2,黄晔辉,100,26,0,0,4-1(全周),,2023,
数学教学中心,10421382,3,高等线性代数选讲,2,黄晔辉,100,32,0,0,2-2(全周),,2.0232E+11,
数学教学中心,10421382,4,高等线性代数选讲,2,杨一龙,110,0,0,0,3-3(全周),,2024,
数学教学中心,10421392,90,高等线性代数选讲（英）,2,杨一龙,120,8,0,0,3-6(全周),全外文授课; 认证外文课;,,
数学教学中心,10421403,0,科学与工程计算基础,3,殷东生,70,48,0,0,5-2(全周),实践课,2023,
数学教学中心,10421443,0,概率论与数理统计（社科类）,3,叶俊,150,0,0,0,1-2(全周),,2023,
物理系,10430012,0,复变函数,2,李岩松,200,50,0,0,"2-1(后八周),4-2(后八周)",,2024,
物理系,10430194,90,大学物理(2),4,杜春光,80,37,0,0,"5-4(全周),5-3(全周)",,,
物理系,10430344,0,大学物理(1)(英),4,张定,120,69,0,0,"1-6(全周),3-6(全周)",全外文授课; 认证外文课;,2024,
物理系,10430484,1,大学物理B(1),4,季帅华,80,0,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10430484,10,大学物理B(1),4,李岩松,50,1,0,0,"3-2(全周),5-1(全周)",,2024,
物理系,10430484,11,大学物理B(1),4,余京智,80,0,0,0,"1-6(全周),3-6(全周)",,2024,
物理系,10430484,12,大学物理B(1),4,张金松,80,0,0,0,"3-3(全周),1-3(全周)",,2024,
物理系,10430484,13,大学物理B(1),4,王佳平,170,13,0,0,"3-2(全周),5-1(全周)",,2024,
物理系,10430484,14,大学物理B(1),4,冯硝,90,4,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10430484,2,大学物理B(1),4,何珂,80,53,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10430484,3,大学物理B(1),4,周树云,80,5,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10430484,4,大学物理B(1),4,张留碗,80,0,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10430484,5,大学物理B(1),4,张留碗,126,0,0,0,"3-2(全周),5-1(全周)",,2024,
物理系,10430484,6,大学物理B(1),4,魏洋,80,14,0,0,"1-1(全周),4-2(全周)",,2024,
物理系,10430484,7,大学物理B(1),4,杜春光,80,47,0,0,"1-1(全周),4-2(全周)",,2024,
物理系,10430484,8,大学物理B(1),4,张有宏,80,0,0,0,"1-1(全周),4-2(全周)",,2024,
物理系,10430494,0,大学物理B(2),4,宋灿立,165,42,0,0,"4-2(全周),1-3(全周)",,2023,
物理系,10430713,1,近代物理实验A组,3,孙文博,75,25,0,0,(全周),实验课,2022,
物理系,10430723,1,近代物理实验B组,3,王合英,75,48,0,0,(全周),实验课,2022,
物理系,10430733,1,近代物理实验C组,3,陈宏,75,74,0,0,(全周),实验课,2022,
物理系,10430743,1,近代物理实验D组,3,王秀凤,70,67,0,0,(全周),实验课,2022,
物理系,10430765,0,大学物理(2),5,王山鹰,130,12,0,0,"5-4(全周),2-4(全周),2-3…",,2023,
物理系,10430782,0,物理实验A(1),2,刘滢滢,72,7,0,0,"1-1(全周),1-2(全周)",实验课,2024,
物理系,10430792,0,物理实验A(2),2,刘滢滢,435,253,0,0,(全周),实验课,2023,
物理系,10430811,1,物理实验B(2),1,梁昌林,760,124,0,0,(全周),实验课,2023,
物理系,10430811,2,物理实验B(2),1,梁昌林,50,2,0,0,(全周),实验课,2023,
物理系,10430811,3,物理实验B(2),1,傅德永,90,34,0,0,(全周),实验课,2023,
物理系,10430875,0,费曼物理学（2）,5,王青,40,10,0,0,"3-2(全周),1-6(全周)",,2024,
物理系,10430934,1,大学物理A(1),4,高飞,128,0,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10430934,2,大学物理A(1),4,胡震,128,17,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10430953,0,基础物理实验A(1),3,王宇航,140,7,0,0,(全周),实验课,2024,
物理系,10430972,0,基础物理实验A(3),2,郭旭波,146,52,0,0,(全周),实验课,2023,
物理系,10431064,0,大学物理(1),4,安宇,120,2,0,0,"5-4(全周),5-3(全周)",,2024,
物理系,10431074,0,物理学(1),4,陈信义,80,68,0,0,"2-2(全周),4-1(全周)",,2024,
物理系,10431134,0,大学物理J1,4,张斌,55,11,0,0,"5-6(双周),3-2(全周),5-1…",,2024,
物理系,10431144,1,大学物理K1,4,安宇,115,4,0,0,"3-2(全周),5-1(全周)",,2024,
物理系,10431144,2,大学物理K1,4,张斌,40,1,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10431174,0,大学物理CE,4,戴松涛,91,12,0,0,"3-1(全周),1-2(全周)",,2024,
物理系,10431182,0,物理实验B,2,宋飞,130,29,0,0,"1-4(全周),1-3(全周)",实验课,2023,
物理系,10431204,0,大学物理XZ(1),4,张卫华,100,12,0,0,"1-1(全周),4-2(全周)",,2024,
物理系,10431232,0,物理实验A(2)(未央),2,傅敏学,327,0,0,0,(全周),实验课,2023,
物理系,10431263,0,物理-1（AI）,3,李岩松,20,2,0,0,5-2(全周),,2024,
化学系,10440012,1,大学化学B,2,刘凯,70,4,0,0,5-1(全周),,2024,
化学系,10440012,2,大学化学B,2,陈晨,120,17,0,0,5-2(全周),,2024,
化学系,10440012,3,大学化学B,2,曲良体,70,55,0,0,3-3(全周),,2024,
化学系,10440012,4,大学化学B,2,冯琳,70,0,0,0,4-1(全周),,2024,
化学系,10440012,5,大学化学B,2,王泉明,80,5,0,0,5-3(全周),,20232024,
化学系,10440103,1,大学化学A,3,陈晨,65,0,0,0,4-2(全周),,2024,
化学系,10440103,2,大学化学A,3,刘凯,45,16,0,0,5-2(全周),,2024,
化学系,10440103,3,大学化学A,3,冯琳,90,0,0,0,1-2(全周),,2024,
化学系,10440103,4,大学化学A,3,严清峰,75,66,0,0,5-2(全周),,2024,
化学系,10440103,5,大学化学A,3,李强,30,0,0,0,1-2(全周),,2024,
化学系,10440174,0,大学化学 H,4,李强,30,25,0,0,"2-1(全周),4-1(全周)",,2024,
生命学院,10450012,1,现代生物学导论,2,杨扬,150,0,0,0,1-3(全周),,20232024,
生命学院,10450012,2,现代生物学导论,2,杨扬,150,15,0,0,5-1(全周),,2024,
生命学院,10450021,0,现代生物学导论实验,1,王洪钟,90,54,0,0,(3-13周),实验课,2024,
生命学院,10450042,1,普通生物学实验,2,陈功,30,0,0,0,"1-4(2-14周),1-3(2-14周)",实验课,20242023,
生命学院,10450042,2,普通生物学实验,2,陈功,30,3,0,0,"2-4(2-14周),2-3(2-14周)",实验课,2024,
生命学院,10450042,3,普通生物学实验,2,李玉明,30,22,0,0,"4-4(2-14周),4-3(2-14周)",实验课,20242023,
生命学院,10450101,90,癌症与社会,1,李治中,100,0,0,0,1-6(前八周),文化素质课; 通识选修课;,,科学课组
地学系,10460022,90,世界历史地理,2,武海平,60,0,0,0,3-6(全周),文化素质课; 通识选修课;,,人文课组
经管学院,10510064,0,实分析,4,高峰,55,6,5,1,"3-3(全周),5-1(全周)",,2021,
经管学院,10510072,0,中文写作,2,高静,10,0,0,0,1-3(全周),,2024,
经管学院,10510123,1,中国文明,3,张国刚,150,87,0,0,2-6(全周),文化素质核心课; 文化素质课;,20242022,
经管学院,10510123,2,中国文明,3,刘丰,70,0,0,0,2-6(全周),文化素质核心课; 文化素质课;,20242022,
经管学院,10510173,1,批判性思维与道德推理,3,谷振诣,55,4,0,0,2-4(全周),文化素质核心课; 文化素质课;,2023,
经管学院,10510173,2,批判性思维与道德推理,3,姜朋,45,6,0,0,2-4(全周),文化素质核心课; 文化素质课;,2023,
经管学院,10510232,0,中外艺术史(1),2,郭秋惠,80,19,0,0,3-4(全周),,2022,
经管学院,10510263,90,管理学的思与行,3,张晨,43,0,0,0,1-6(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,社科课组
经管学院,10510292,0,创意创新创业：从构思到影响力,2,李纪珍,80,17,0,0,1-1(全周),,2022,
经管学院,10510302,90,沟通基础,2,HAO JIE,27,1,0,0,4-6(全周),通识选修课,,科学课组
经管学院,10510321,0,新生导引课,1,罗文澜,20,16,0,0,(全周),全外文授课; 实践课;,2023,
经管学院,10510332,0,批判性思维与道德推理,2,姜朋,60,9,0,0,2-6(前八周),,2024,
经管学院,10510344,0,经济学原理,4,董丰,200,57,0,0,"5-2(全周),5-1(全周)",通识选修课,2024,社科课组
公管学院,10590013,0,公共政策分析基础,3,张芳,60,42,0,0,3-6(全周),,,
公管学院,10590022,90,公共伦理,2,贾西津,60,10,0,0,5-4(全周),文化素质课; 通识选修课;,,人文课组
马克思主义学院,10610193,1,中国近现代史纲要,3,舒文,200,0,0,0,3-1(全周),,2024,
马克思主义学院,10610193,10,中国近现代史纲要,3,吴起民,200,0,0,0,3-2(全周),,,
马克思主义学院,10610193,11,中国近现代史纲要,3,李玉蓉,200,0,0,0,3-2(全周),,,
马克思主义学院,10610193,12,中国近现代史纲要,3,夏清,200,0,0,0,3-2(全周),,,
马克思主义学院,10610193,13,中国近现代史纲要,3,王宪明,200,1,0,0,3-2(全周),,,
马克思主义学院,10610193,14,中国近现代史纲要,3,夏清,200,0,0,0,3-3(全周),,2024,
马克思主义学院,10610193,15,中国近现代史纲要,3,欧阳军喜,200,0,0,0,3-3(全周),,,
马克思主义学院,10610193,16,中国近现代史纲要,3,李玉蓉,200,5,0,0,4-2(全周),,,
马克思主义学院,10610193,17,中国近现代史纲要,3,吴起民,200,0,0,0,4-2(全周),,,
马克思主义学院,10610193,18,中国近现代史纲要,3,李玓,200,0,0,0,2-2(全周),,2024,
马克思主义学院,10610193,2,中国近现代史纲要,3,欧阳军喜,200,0,0,0,3-1(全周),,,
马克思主义学院,10610193,3,中国近现代史纲要,3,李蕉,200,0,0,0,3-1(全周),,,
马克思主义学院,10610193,4,中国近现代史纲要,3,夏清,200,0,0,0,3-1(全周),,,
马克思主义学院,10610193,5,中国近现代史纲要,3,舒文,200,0,0,0,2-1(全周),,2024,
马克思主义学院,10610193,6,中国近现代史纲要,3,王宪明,200,1,0,0,2-1(全周),,,
马克思主义学院,10610193,7,中国近现代史纲要,3,欧阳军喜,200,54,0,0,2-1(全周),,,
马克思主义学院,10610193,8,中国近现代史纲要,3,李蕉,200,0,0,0,2-1(全周),,,
马克思主义学院,10610193,9,中国近现代史纲要,3,李玓,200,0,0,0,3-2(全周),,2024,
法学院,10660012,0,法律基础,2,陈新宇,130,3,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
法学院,10660033,0,主权与人权,3,刘晗,30,0,0,0,4-2(全周),外文教材，中文为主进行授课(双语课); 文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,2022,
法学院,10660043,0,经典与想象：中国古代传说新读,3,李平,29,0,0,0,4-6(全周),文化素质核心课; 文化素质课;,2023,
马克思主义学院,10680022,1,习近平新时代中国特色社会主义思想概论,2,何建宇,195,0,0,0,4-1(全周),,2023,
马克思主义学院,10680022,10,习近平新时代中国特色社会主义思想概论,2,李戈,195,12,0,0,5-2(全周),,,
马克思主义学院,10680022,11,习近平新时代中国特色社会主义思想概论,2,李戈,195,0,0,0,5-3(全周),,2.0232E+11,
马克思主义学院,10680022,12,习近平新时代中国特色社会主义思想概论,2,陈晓仪,195,0,0,0,4-1(全周),,,
马克思主义学院,10680022,13,习近平新时代中国特色社会主义思想概论,2,陈晓仪,195,64,0,0,4-2(全周),,,
马克思主义学院,10680022,14,习近平新时代中国特色社会主义思想概论,2,陈晓仪,195,0,0,0,5-1(全周),,,
马克思主义学院,10680022,15,习近平新时代中国特色社会主义思想概论,2,陈晓仪,195,1,0,0,5-2(全周),,,
马克思主义学院,10680022,16,习近平新时代中国特色社会主义思想概论,2,郎昆,195,0,0,0,4-1(全周),,,
马克思主义学院,10680022,17,习近平新时代中国特色社会主义思想概论,2,郎昆,195,0,0,0,5-2(全周),,,
马克思主义学院,10680022,18,习近平新时代中国特色社会主义思想概论,2,郎昆,195,0,0,0,5-3(全周),,,
马克思主义学院,10680022,19,习近平新时代中国特色社会主义思想概论,2,程正雨,185,5,0,0,4-1(全周),,,
马克思主义学院,10680022,2,习近平新时代中国特色社会主义思想概论,2,何建宇,195,12,0,0,4-2(全周),,,
马克思主义学院,10680022,3,习近平新时代中国特色社会主义思想概论,2,何建宇,185,0,0,0,5-1(全周),,2023,
马克思主义学院,10680022,4,习近平新时代中国特色社会主义思想概论,2,何建宇,195,19,0,0,5-2(全周),,20232022,
马克思主义学院,10680022,5,习近平新时代中国特色社会主义思想概论,2,冯务中,195,0,0,0,4-1(全周),,,
马克思主义学院,10680022,6,习近平新时代中国特色社会主义思想概论,2,冯务中,195,1,0,0,4-2(全周),,,
马克思主义学院,10680022,7,习近平新时代中国特色社会主义思想概论,2,冯务中,195,0,0,0,5-1(全周),,,
马克思主义学院,10680022,8,习近平新时代中国特色社会主义思想概论,2,冯务中,195,0,0,0,5-2(全周),,,
马克思主义学院,10680022,9,习近平新时代中国特色社会主义思想概论,2,李戈,195,0,0,0,4-1(全周),,,
马克思主义学院,10680092,1,思政实践,2,徐宁,25,25,0,0,(1周),实践课,,
马克思主义学院,10680092,2,思政实践,2,车宗凯,25,25,0,0,(1周),实践课,,
马克思主义学院,10680092,3,思政实践,2,程正雨,25,25,0,0,(1周),实践课,,
马克思主义学院,10680092,4,思政实践,2,刘东浩,25,25,0,0,(1周),实践课,,
马克思主义学院,10680121,1,形势与政策（1）-春,1,郎昆,22,0,0,0,"3-6(1周),5-6(3周),3-6(…",,,
马克思主义学院,10680121,10,形势与政策（1）-春,1,肖源睿,22,0,0,0,"1-4(4周),3-6(2周),3-6(…",,,
马克思主义学院,10680121,11,形势与政策（1）-春,1,肖源睿,22,0,0,0,"3-6(2周),3-6(1,3-7周),…",,,
马克思主义学院,10680121,12,形势与政策（1）-春,1,肖源睿,22,0,0,0,"3-6(2周),3-6(1,3-7周),…",,,
马克思主义学院,10680121,13,形势与政策（1）-春,1,肖源睿,22,0,0,0,"3-6(2周),3-6(1,3-7周),…",,,
马克思主义学院,10680121,14,形势与政策（1）-春,1,肖源睿,22,0,0,0,"3-6(2周),3-6(1,3-7周),…",,,
马克思主义学院,10680121,15,形势与政策（1）-春,1,肖源睿,22,1,0,0,"3-4(6周),3-6(2周),3-6(…",,,
马克思主义学院,10680121,16,形势与政策（1）-春,1,肖源睿,22,0,0,0,"3-6(2周),3-6(1,3-7周),…",,,
马克思主义学院,10680121,17,形势与政策（1）-春,1,程正雨,22,0,0,0,"5-6(3周),3-6(1-2,4-7周…",,,
马克思主义学院,10680121,18,形势与政策（1）-春,1,程正雨,22,1,0,0,"3-6(1-2,4-7周),3-6(3周…",,,
马克思主义学院,10680121,19,形势与政策（1）-春,1,程正雨,22,0,0,0,"2-6(4周),3-6(1-2,4-7周…",,,
马克思主义学院,10680121,2,形势与政策（1）-春,1,郎昆,22,0,0,0,"3-6(1周),3-6(2-7周),2-…",,,
马克思主义学院,10680121,20,形势与政策（1）-春,1,程正雨,22,0,0,0,"3-4(4周),3-6(1-2,4-7周…",,,
马克思主义学院,10680121,21,形势与政策（1）-春,1,程正雨,22,1,0,0,"5-2(4周),3-6(1-2,4-7周…",,,
马克思主义学院,10680121,22,形势与政策（1）-春,1,程正雨,22,0,0,0,"5-4(4周),3-6(1-2,4-7周…",,,
马克思主义学院,10680121,23,形势与政策（1）-春,1,程正雨,22,0,0,0,"1-6(5周),3-6(1-2,4-7周…",,,
马克思主义学院,10680121,24,形势与政策（1）-春,1,程正雨,22,0,0,0,"3-6(1-2,4-7周),3-6(3周…",,,
马克思主义学院,10680121,25,形势与政策（1）-春,1,潘一坡,22,0,0,0,"5-6(3周),3-6(4周),3-6(…",,,
马克思主义学院,10680121,26,形势与政策（1）-春,1,潘一坡,22,0,0,0,"3-6(4周),1-4(5周),3-6(…",,,
马克思主义学院,10680121,27,形势与政策（1）-春,1,潘一坡,22,0,0,0,"1-6(5周),3-6(4周),3-6(…",,,
马克思主义学院,10680121,28,形势与政策（1）-春,1,潘一坡,22,1,0,0,"3-6(4周),3-4(5周),3-6(…",,,
马克思主义学院,10680121,29,形势与政策（1）-春,1,潘一坡,22,7,0,0,"3-6(4周),4-2(5周),3-6(…",,,
马克思主义学院,10680121,3,形势与政策（1）-春,1,郎昆,22,0,0,0,"3-6(1周),2-6(4周),3-6(…",,,
马克思主义学院,10680121,30,形势与政策（1）-春,1,潘一坡,22,3,0,0,"3-6(4周),3-6(1-3,5-7周…",,,
马克思主义学院,10680121,31,形势与政策（1）-春,1,潘一坡,22,3,0,0,"3-6(4周),2-4(6周),3-6(…",,,
马克思主义学院,10680121,32,形势与政策（1）-春,1,潘一坡,22,4,0,0,"3-6(4周),3-4(6周),3-6(…",,,
马克思主义学院,10680121,33,形势与政策（1）-春,1,帅博闻,22,0,0,0,"5-6(3周),3-6(5周),3-6(…",,,
马克思主义学院,10680121,34,形势与政策（1）-春,1,帅博闻,22,2,0,0,"1-4(4周),3-6(5周),3-6(…",,,
马克思主义学院,10680121,35,形势与政策（1）-春,1,帅博闻,22,2,0,0,"4-4(4周),3-6(5周),3-6(…",,,
马克思主义学院,10680121,36,形势与政策（1）-春,1,帅博闻,22,4,0,0,"3-6(5周),3-6(1-4,6-7周…",,,
马克思主义学院,10680121,37,形势与政策（1）-春,1,帅博闻,22,5,0,0,"1-4(5周),3-6(5周),3-6(…",,,
马克思主义学院,10680121,38,形势与政策（1）-春,1,帅博闻,22,5,0,0,"4-4(5周),3-6(5周),3-6(…",,,
马克思主义学院,10680121,39,形势与政策（1）-春,1,帅博闻,22,1,0,0,"3-6(5周),3-6(1-4,6-7周…",,,
马克思主义学院,10680121,4,形势与政策（1）-春,1,郎昆,22,0,0,0,"4-4(4周),3-6(1周),3-6(…",,,
马克思主义学院,10680121,40,形势与政策（1）-春,1,帅博闻,22,5,0,0,"3-6(5周),3-6(1-4,6-7周…",,,
马克思主义学院,10680121,41,形势与政策（1）-春,1,荆文锴,22,0,0,0,"3-6(6周),5-6(3周),3-6(…",,,
马克思主义学院,10680121,42,形势与政策（1）-春,1,荆文锴,22,4,0,0,"3-6(6周),3-6(1-5,7周),…",,,
马克思主义学院,10680121,43,形势与政策（1）-春,1,荆文锴,22,9,0,0,"3-6(6周),3-6(1-5,7周),…",,,
马克思主义学院,10680121,44,形势与政策（1）-春,1,荆文锴,22,6,0,0,"3-6(6周),3-6(1-5,7周),…",,,
马克思主义学院,10680121,45,形势与政策（1）-春,1,荆文锴,22,2,0,0,"3-6(6周),1-4(5周),3-6(…",,,
马克思主义学院,10680121,46,形势与政策（1）-春,1,荆文锴,22,3,0,0,"3-6(6周),3-4(5周),3-6(…",,,
马克思主义学院,10680121,47,形势与政策（1）-春,1,荆文锴,22,4,0,0,"3-6(6周),3-4(6周),3-6(…",,,
马克思主义学院,10680121,48,形势与政策（1）-春,1,荆文锴,22,6,0,0,"3-6(6周),5-4(6周),3-6(…",,,
马克思主义学院,10680121,49,形势与政策（1）-春,1,陈晓仪,18,0,0,0,"3-6(1-6周),5-6(3周),3-…",,,
马克思主义学院,10680121,5,形势与政策（1）-春,1,郎昆,22,3,0,0,"3-6(1周),3-6(2-7周),2-…",,,
马克思主义学院,10680121,50,形势与政策（1）-春,1,陈晓仪,18,0,0,0,"3-6(1-6周),3-6(7周),1-…",,,
马克思主义学院,10680121,51,形势与政策（1）-春,1,陈晓仪,18,1,0,0,"1-4(4周),3-6(1-6周),3-…",,,
马克思主义学院,10680121,52,形势与政策（1）-春,1,陈晓仪,18,0,0,0,"3-6(1-6周),2-6(4周),3-…",,,
马克思主义学院,10680121,53,形势与政策（1）-春,1,陈晓仪,18,0,0,0,"4-4(4周),3-6(1-6周),3-…",,,
马克思主义学院,10680121,54,形势与政策（1）-春,1,陈晓仪,18,0,0,0,"1-6(5周),3-6(1-6周),3-…",,,
马克思主义学院,10680121,55,形势与政策（1）-春,1,陈晓仪,18,3,0,0,"3-6(1-6周),3-6(7周),2-…",,,
马克思主义学院,10680121,56,形势与政策（1）-春,1,陈晓仪,18,0,0,0,"3-6(1-6周),4-4(5周),3-…",,,
马克思主义学院,10680121,6,形势与政策（1）-春,1,郎昆,22,5,0,0,"3-6(1周),2-6(4周),3-6(…",,,
马克思主义学院,10680121,7,形势与政策（1）-春,1,郎昆,22,4,0,0,"3-6(1周),4-4(5周),3-6(…",,,
马克思主义学院,10680121,8,形势与政策（1）-春,1,郎昆,22,3,0,0,"3-6(1周),3-6(2-7周),4-…",,,
马克思主义学院,10680121,9,形势与政策（1）-春,1,肖源睿,22,4,0,0,"5-6(3周),3-6(2周),3-6(…",,,
马克思主义学院,10680131,0,形势与政策（2）-春,1,李蕉,3000,573,0,0,(前八周),,,
马克思主义学院,10680142,1,毛泽东思想和中国特色社会主义理论体系概论,2,解安,195,0,0,0,2-3(全周),,2023,
马克思主义学院,10680142,10,毛泽东思想和中国特色社会主义理论体系概论,2,车宗凯,195,0,0,0,3-2(全周),,,
马克思主义学院,10680142,11,毛泽东思想和中国特色社会主义理论体系概论,2,路子达,195,0,0,0,2-1(全周),,,
马克思主义学院,10680142,12,毛泽东思想和中国特色社会主义理论体系概论,2,路子达,195,0,0,0,2-3(全周),,,
马克思主义学院,10680142,13,毛泽东思想和中国特色社会主义理论体系概论,2,路子达,195,0,0,0,3-1(全周),,,
马克思主义学院,10680142,14,毛泽东思想和中国特色社会主义理论体系概论,2,路子达,195,0,0,0,3-2(全周),,,
马克思主义学院,10680142,15,毛泽东思想和中国特色社会主义理论体系概论,2,冯务中,195,0,0,0,2-1(全周),,,
马克思主义学院,10680142,16,毛泽东思想和中国特色社会主义理论体系概论,2,冯务中,195,0,0,0,2-3(全周),,,
马克思主义学院,10680142,17,毛泽东思想和中国特色社会主义理论体系概论,2,冯务中,195,0,0,0,3-1(全周),,,
马克思主义学院,10680142,18,毛泽东思想和中国特色社会主义理论体系概论,2,冯务中,195,0,0,0,3-2(全周),,,
马克思主义学院,10680142,2,毛泽东思想和中国特色社会主义理论体系概论,2,解安,195,0,0,0,3-2(全周),,2023,
马克思主义学院,10680142,3,毛泽东思想和中国特色社会主义理论体系概论,2,肖贵清,195,126,0,0,3-2(全周),,,
马克思主义学院,10680142,4,毛泽东思想和中国特色社会主义理论体系概论,2,陈明凡,195,0,0,0,2-3(全周),,,
马克思主义学院,10680142,5,毛泽东思想和中国特色社会主义理论体系概论,2,陈明凡,195,0,0,0,3-1(全周),,20232022,
马克思主义学院,10680142,6,毛泽东思想和中国特色社会主义理论体系概论,2,陈明凡,195,0,0,0,3-2(全周),,,
马克思主义学院,10680142,7,毛泽东思想和中国特色社会主义理论体系概论,2,车宗凯,195,0,0,0,2-1(全周),,2023,
马克思主义学院,10680142,8,毛泽东思想和中国特色社会主义理论体系概论,2,车宗凯,195,0,0,0,2-3(全周),,,
马克思主义学院,10680142,9,毛泽东思想和中国特色社会主义理论体系概论,2,车宗凯,195,0,0,0,3-1(全周),,,
人文学院,10690013,0,学术之道,3,白峰杉,280,71,0,0,"2-4(全周),2-3(全周)",文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,10691143,0,中国现代文学经典,3,袁先欣,30,6,0,0,"2-4(全周),2-3(全周)",文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,2024,
人文学院,10691153,90,大学精神之源流,3,蔡文鹏,30,4,0,0,1-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,10691173,0,《孟子》研读,3,赵金刚,20,12,5,5,"1-4(前八周),4-2(前八…",文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,10691203,0,科学革命,3,吴国盛,30,14,0,0,3-6(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,20232024,科学课组
人文学院,10691233,0,中国古代文明,3,侯旭东,90,23,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,20242022,人文课组
人文学院,10691323,0,现代中国的形成,3,黄振萍,60,0,0,0,2-6(全周),,2024,
人文学院,10691342,1,写作与沟通,2,黄振萍,16,0,0,0,4-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,10,写作与沟通,2,高策,16,0,0,0,4-1(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,100,写作与沟通,2,严程,18,0,0,0,2-3(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,101,写作与沟通,2,严程,16,0,0,0,3-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,102,写作与沟通,2,严程,16,0,0,0,3-3(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,103,写作与沟通,2,严程,16,0,0,0,4-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,108,写作与沟通,2,苏婧,16,0,0,0,2-3(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,109,写作与沟通,2,贾雯旭,16,0,0,0,2-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,11,写作与沟通,2,高策,16,0,0,0,4-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,110,写作与沟通,2,窦吉芳,16,0,0,0,3-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,12,写作与沟通,2,高策,18,0,0,0,4-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,13,写作与沟通,2,苏婧,16,0,0,0,3-1(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,14,写作与沟通,2,苏婧,16,0,0,0,3-3(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,15,写作与沟通,2,苏婧,17,0,0,0,5-3(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,16,写作与沟通,2,苏婧,16,1,0,0,5-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,17,写作与沟通,2,邓耿,17,0,0,0,1-1(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,18,写作与沟通,2,邓耿,17,0,0,0,3-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,19,写作与沟通,2,邓耿,16,0,0,0,4-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,2,写作与沟通,2,易陈谊,16,0,0,0,2-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,20,写作与沟通,2,邓耿,17,0,0,0,4-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,21,写作与沟通,2,李轶男,16,0,0,0,2-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,22,写作与沟通,2,李轶男,16,0,0,0,2-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,23,写作与沟通,2,李轶男,16,0,0,0,4-1(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,24,写作与沟通,2,李轶男,16,0,0,0,4-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,25,写作与沟通,2,李正新,17,0,0,0,2-1(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,26,写作与沟通,2,李正新,16,0,0,0,2-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,27,写作与沟通,2,李正新,16,0,0,0,2-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,28,写作与沟通,2,李正新,16,0,0,0,3-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,29,写作与沟通,2,李正新,16,0,0,0,3-6(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,3,写作与沟通,2,邢沁妍,16,0,0,0,2-2(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,30,写作与沟通,2,毛君,16,0,0,0,2-1(全周),文化素质核心课; 文化素质课;,,
人文学院,10691342,31,写作与沟通,2,毛君,16,0,0,0,2-2(全周),文化素质核心课; 文化素质课;,,
